step,time_s,key,value
17,3961.1,gnorm,2.158
17,3961.1,queued,3
17,3961.1,dropped,18
17,3961.1,received,39
17,3961.1,snap_dropped,0
17,3961.1,logp_gap,0.000
18,4057.8,reward,0.100
18,4057.8,staleness,2
18,4057.8,loss,0.000
18,4057.8,pg,0.000
18,4057.8,ratio,1.000
18,4057.8,gnorm,0.000
18,4057.8,queued,3
18,4057.8,dropped,18
18,4057.8,received,40
18,4057.8,snap_dropped,0
18,4057.8,logp_gap,0.000
19,4154.6,reward,0.100
19,4154.6,staleness,2
19,4154.6,loss,0.000
19,4154.6,pg,0.000
19,4154.6,ratio,1.000
19,4154.6,gnorm,0.000
19,4154.6,queued,2
19,4154.6,dropped,19
19,4154.6,received,41
19,4154.6,snap_dropped,0
19,4154.6,logp_gap,0.000
20,4259.2,reward,0.225
20,4259.2,staleness,2
20,4259.2,loss,0.001
20,4259.2,pg,0.001
20,4259.2,ratio,0.999
20,4259.2,gnorm,1.308
20,4259.2,queued,1
20,4259.2,dropped,20
20,4259.2,received,42
20,4259.2,snap_dropped,0
20,4259.2,logp_gap,0.000
20,4455.0,eval_acc,0.164
